ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,XY (CABA),VICTIMA,ACUSADO,Nº víctimas,V,A,Grupos_Part,Involucrados
2016-0001,1,2016-01-01,2016,1,1,04:00:00,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,Point (98896.78238426 93532.43437792),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2016-0002,1,2016-01-02,2016,1,2,01:15:00,1,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,9,Point (95832.05571093 95505.41641999),AUTO,PASAJEROS,1,Motorizado,Motorizado,MM,AUTO-PASAJEROS
2016-0003,1,2016-01-03,2016,1,3,07:00:00,7,AV ENTRE RIOS 2034,AVENIDA,1,Point (106684.29090040 99706.57687843),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2016-0005,1,2016-01-21,2016,1,21,05:20:00,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,1,Point (106980.32827929 100752.16915795),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2016-0008,1,2016-01-24,2016,1,24,18:30:00,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,Point (101721.59002217 93844.25656649),MOTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,MOTO-OBJETO FIJO
2016-0009,1,2016-01-24,2016,1,24,19:10:00,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,Point (96545.87592078 102330.67262199),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2016-0010,1,2016-01-29,2016,1,29,15:20:00,15,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,9,Point (95832.05571093 95505.41641999),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2016-0012,1,2016-02-08,2016,2,8,01:20:00,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,Point (107595.35084333 101797.50052813),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2016-0013,1,2016-02-10,2016,2,10,11:30:00,11,AV ENTRE RIOS 1366,AVENIDA,1,Point (106616.41069662 100496.44662323),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2016-0015,1,2016-02-14,2016,2,14,05:14:00,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,Point (102357.43746828 103343.52002839),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2016-0016,1,2016-02-14,2016,2,14,22:00:00,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,Point (108661.59115206 98481.75445555),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2016-0017,1,2016-02-15,2016,2,15,16:54:00,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,Point (101228.61094416 96623.72136186),PEATON,MOTO,1,PEATON,Motorizado,PM,PEATON-MOTO
2016-0019,1,2016-02-17,2016,2,17,09:30:00,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,9,Point (95727.37083199 97179.35560349),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2016-0020,1,2016-02-17,2016,2,17,16:00:00,16,SUIPACHA 156,CALLE,1,Point (107684.31807562 102519.17333314),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2016-0021,1,2016-02-17,2016,2,17,23:35:00,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7,Point (101074.94198885 99848.19369046),AUTO,AUTO,1,Motorizado,Motorizado,MM,AUTO-AUTO
2016-0022,1,2016-02-21,2016,2,21,06:00:00,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1,Point (107507.39502374 102046.08333077),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2016-0025,1,2016-02-28,2016,2,28,04:50:00,4,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,8,Point (100077.95205948 91571.23307293),AUTO,AUTO,1,Motorizado,Motorizado,MM,AUTO-AUTO
